vehicle_id,frame,speed_kmh,lane_id,class
36,106,25.88,unknown,car
36,107,28.48,unknown,car
36,108,32.33,unknown,car
36,109,35.87,unknown,car
36,110,32.32,unknown,car
36,112,25.69,unknown,car
36,114,39.06,unknown,car
36,115,26.42,unknown,car
36,116,34.08,unknown,car
36,118,23.09,unknown,car
36,119,25.24,unknown,car
36,120,29.27,unknown,car
36,121,33.51,unknown,car
36,122,21.13,unknown,car
36,124,20.15,unknown,car
36,125,31.37,unknown,car
36,126,28.69,unknown,car
36,127,27.69,unknown,car
36,128,26.13,unknown,car
36,130,25.26,unknown,car
36,132,28.96,unknown,car
36,133,24.84,unknown,car
36,134,22.33,unknown,car
36,137,30.33,unknown,car
36,138,21.85,unknown,car
